country,key,value,date
ec,latin,2471744,2017-01-01
ec,latin,2466271,2017-01-08
ec,latin,2783188,2017-01-15
ec,latin,3169683,2017-01-22
ec,latin,3178474,2017-01-29
ec,latin,3175476,2017-02-05
ec,latin,3025930,2017-02-12
ec,latin,2852654,2017-02-19
ec,latin,2904372,2017-02-26
ec,latin,2892066,2017-03-05
ec,latin,2864798,2017-03-12
ec,latin,2818858,2017-03-19
ec,latin,2755561,2017-03-26
ec,latin,2690531,2017-04-02
ec,latin,2773500,2017-04-09
ec,latin,3045193,2017-04-16
ec,latin,3179369,2017-04-23
ec,latin,3019961,2017-04-30
ec,latin,3032187,2017-05-07
ec,latin,2987009,2017-05-14
ec,latin,3142513,2017-05-21
ec,latin,1876976,2017-05-28
ec,latin,3382616,2017-06-04
ec,latin,3444377,2017-06-11
ec,latin,3355591,2017-06-18
ec,latin,3265807,2017-06-25
ec,latin,3588531,2017-07-02
ec,latin,3774269,2017-07-09
ec,latin,3696052,2017-07-16
ec,latin,3677412,2017-07-23
ec,latin,3695444,2017-07-30
ec,latin,3760062,2017-08-06
ec,latin,3691958,2017-08-13
ec,latin,3676834,2017-08-20
ec,latin,3558648,2017-08-27
ec,latin,3612614,2017-09-03
ec,latin,3771735,2017-09-10
ec,latin,3930789,2017-09-17
ec,latin,3842326,2017-09-24
ec,latin,3906482,2017-10-01
ec,latin,3997911,2017-10-08
ec,latin,4042131,2017-10-15
ec,latin,4116435,2017-10-22
ec,latin,4253962,2017-10-29
ec,latin,4250964,2017-11-05
ec,latin,4648077,2017-11-12
ec,latin,4809289,2017-11-19
ec,latin,4860930,2017-11-26
ec,latin,4940052,2017-12-03
ec,latin,4893191,2017-12-10
ec,latin,5088233,2017-12-17
ec,latin,5162995,2017-12-24
ec,latin,799597,2017-12-31
ec,pop,1148655,2017-01-01
ec,pop,1276821,2017-01-08
ec,pop,1288639,2017-01-15
ec,pop,1240480,2017-01-22
ec,pop,1230065,2017-01-29
ec,pop,1218176,2017-02-05
ec,pop,1202607,2017-02-12
ec,pop,1192864,2017-02-19
ec,pop,1182745,2017-02-26
ec,pop,1446544,2017-03-05
ec,pop,1376802,2017-03-12
ec,pop,1282373,2017-03-19
ec,pop,1254893,2017-03-26
ec,pop,1263272,2017-04-02
ec,pop,1271843,2017-04-09
ec,pop,1286320,2017-04-16
ec,pop,1297393,2017-04-23
ec,pop,1224875,2017-04-30
ec,pop,1179192,2017-05-07
ec,pop,1200755,2017-05-14
ec,pop,1243179,2017-05-21
ec,pop,662557,2017-05-28
ec,pop,1194784,2017-06-04
ec,pop,1205126,2017-06-11
ec,pop,1181287,2017-06-18
ec,pop,1142906,2017-06-25
ec,pop,1155643,2017-07-02
ec,pop,1191312,2017-07-09
ec,pop,1176875,2017-07-16
ec,pop,1140073,2017-07-23
ec,pop,1116259,2017-07-30
ec,pop,1083418,2017-08-06
ec,pop,1078763,2017-08-13
ec,pop,1065174,2017-08-20
ec,pop,1041605,2017-08-27
ec,pop,1024563,2017-09-03
ec,pop,1011807,2017-09-10
ec,pop,1058871,2017-09-17
