id,artist_id,artist_name,genres,energy,instrumentalness,liveness,loudness,speechiness,valence,danceability,acousticness,tempo
4p8qhuurSA5UOuMAFiyRSj,4NgNsOXSwIzXlUIJcpnNUp,Sarah McLachlan,/canadian pop/ectofolk/folk/folk-pop/lilith/neo mellow/new wave pop/permanent wave/pop rock/,0.136,0.0000167,0.129,-14.99,0.0356,0.166,0.332,0.972,80.629
6qt4DNJ94JlcYw5aZJP9D1,2mGYHril2LuZodRtTX06BC,Kumi Koda,/j-idol/j-pop/japanese r&b/,0.518,0,0.157,-6.802,0.0309,0.275,0.483,0.167,75.056
6NyW4dUf668rHcdo0HvR6g,4yUvIAm9mSJyLt1WLrOxAZ,Mecna,/italian alternative/italian hip hop/,0.518,0,0.0752,-8.89,0.279,0.561,0.636,0.372,72.721
11CSiZLEG9zCMfiMXQlFtt,undefined,undefined,undefined,0.611,0.0272,0.0588,-6.889,0.0992,0.866,0.807,0.338,100.373
5O15xPvlUyf6WYJqNP96vc,undefined,undefined,undefined,0.918,0,0.0797,-4.503,0.219,0.45,0.852,0.476,111.985
75JFxkI2RXiU7L9VXzMkle,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,/permanent wave/pop/,0.442,0.0000171,0.11,-7.224,0.0243,0.212,0.56,0.727,146.448
4gfF47xR1aX8TzEESdLicj,6FgvbauqkRDLhAB6Jv8HWK,é½Šæ™¨,//,0.43,0.00000477,0.086,-10.34,0.0493,0.281,0.553,0.85,111.2
2hlifRYLYFRiPN9XmRkCFz,0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,/latin/latin hip hop/pop/reggaeton/tropical/,0.772,0,0.152,-5.325,0.0489,0.559,0.75,0.0515,93.009
4ClMraotykv6lBNoPUECdU,undefined,undefined,undefined,0.59,0.00000339,0.108,-6.187,0.0404,0.305,0.428,0.102,120.38
17DfKcV1gBdfMBdzsf4NQx,3R3WEsfL1WC1zLiz3XG9K5,miwa,/anime/j-idol/j-pop/j-rock/japanese r&b/,0.507,0,0.293,-6.175,0.0287,0.396,0.47,0.354,149.601
5aspgVO0MxLbOWLxKMCqio,75axmxcpFNiQiMTZFWGMWn,Kilian & Jo,//,0.683,0.00115,0.219,-6.635,0.0433,0.381,0.789,0.0296,124.982
5e5OmvGU3zop1iyjAaVlxp,2QcZxAgcs2I1q7CtCkl6MI,Eason Chan,/c-pop/cantopop/mandopop/,0.559,0,0.0951,-7.852,0.235,0.893,0.629,0.629,169.926
71dJPFURewwzrFZn6Wglee,4uGB0nZ5d1iCXS3sHR3pzm,GÃ¶khan TÃ¼rkmen,/deep turkish rock/turkish pop/turkish rock/,0.446,0.0000229,0.0957,-11.908,0.0476,0.395,0.676,0.44,122.546
0A2h9QjoPdbVwa9LFiijqM,undefined,undefined,undefined,0.687,0,0.134,-5.667,0.0722,0.692,0.777,0.0385,89.998
5tqMNGtNxhFTq3H4RnPLhC,6J0Y4CoGMKL5RyeozHnVKl,FDVM,/deep house/deep tropical house/tropical house/,0.737,0.00000202,0.086,-7.295,0.046,0.277,0.739,0.126,108.004
2Pw44a20tjxfpohMCtM3zY,4CuMwzDzEdlUJMEna38VQ0,Dark Polo Gang,/italian alternative/italian hip hop/,0.768,0.0000154,0.0544,-5.524,0.0444,0.358,0.774,0.147,125.971
7uUEdUUR7ND7IYZhtiysoQ,2E6AK3UPEGCvjnzuygCh2h,Night Skinny,/italian alternative/italian hip hop/,0.857,0,0.0953,-4.319,0.242,0.738,0.51,0.371,127.55
3lSDIJ2abCrOdDJ6pshUap,undefined,undefined,undefined,0.624,0,0.145,-5.397,0.0698,0.39,0.667,0.258,124.012
3nbwh7bLMjoyZadjRMItz4,4WNxiqxAHcXWK9jWdevCIn,Zbigniew Wodecki,/classic polish pop/polish pop/,0.642,0.000042,0.242,-5.646,0.0462,0.299,0.229,0.699,172.741
1RPMDcIljymdp7dSgTfhls,0JTMRuiDzOCjWuYtWMgv2s,Haloo Helsinki!,/finnish dance pop/finnish pop/iskelma/suomi rock/,0.9,0.00181,0.377,-5.852,0.0875,0.454,0.612,0.0188,129.9
06mDx5gBSdL4lvjBz7MQgJ,5pVRwX5ZQR7hfJ18w8ZYkl,Ufo361,/german hip hop/,0.578,0.0000282,0.101,-7.54,0.092,0.474,0.726,0.161,120.041
3lkz1O0KSXBKqYHwaqkIcj,0O0hxUrO2PKxZknken3R24,Suchmos,/j-dance/j-rap/j-rock/japanese city pop/japanese r&b/,0.949,0.000256,0.0905,-6.003,0.0404,0.879,0.659,0.0129,99.997
1251zJyy2Po9qZB0Hig4q9,2EuQqDENk0vVonzvKya24Q,Heikki Kuula,/finnish dance pop/finnish hip hop/,0.929,0.000946,0.0296,-3.758,0.0919,0.923,0.88,0.0226,104.997
2mfahQ0EaaZWq4cFNg6A1o,2ySHS7UojGu20XfUPaBlyu,Devin Dawson,/contemporary country/,0.668,0,0.216,-5.488,0.0291,0.635,0.634,0.14,80.989
