country,key,value,date
ec,latin,2471744,01/01/17
ec,latin,2466271,01/08/17
ec,latin,2783188,01/15/17
ec,latin,3169683,01/22/17
ec,latin,3178474,01/29/17
ec,latin,3175476,02/05/17
ec,latin,3025930,02/12/17
ec,latin,2852654,02/19/17
ec,latin,2904372,02/26/17
ec,latin,2892066,03/05/17
ec,latin,2864798,03/12/17
ec,latin,2818858,03/19/17
ec,latin,2755561,03/26/17
ec,latin,2690531,04/02/17
ec,latin,2773500,04/09/17
ec,latin,3045193,04/16/17
ec,latin,3179369,04/23/17
ec,latin,3019961,04/30/17
ec,latin,3032187,05/07/17
ec,latin,2987009,05/14/17
ec,latin,3142513,05/21/17
ec,latin,1876976,05/28/17
ec,latin,3382616,06/04/17
ec,latin,3444377,06/11/17
ec,latin,3355591,06/18/17
ec,latin,3265807,06/25/17
ec,latin,3588531,07/02/17
ec,latin,3774269,07/09/17
ec,latin,3696052,07/16/17
ec,latin,3677412,07/23/17
ec,latin,3695444,07/30/17
ec,latin,3760062,08/06/17
ec,latin,3691958,08/13/17
ec,latin,3676834,08/20/17
ec,latin,3558648,08/27/17
ec,latin,3612614,09/03/17
ec,latin,3771735,09/10/17
ec,latin,3930789,09/17/17
ec,latin,3842326,09/24/17
ec,latin,3906482,10/01/17
ec,latin,3997911,10/08/17
ec,latin,4042131,10/15/17
ec,latin,4116435,10/22/17
ec,latin,4253962,10/29/17
ec,latin,4250964,11/05/17
ec,latin,4648077,11/12/17
ec,latin,4809289,11/19/17
ec,latin,4860930,11/26/17
ec,latin,4940052,12/03/17
ec,latin,4893191,12/10/17
ec,latin,5088233,12/17/17
ec,latin,5162995,12/24/17
ec,latin,4947395,12/31/17
ec,latin,2009997,01/07/18
ec,pop,1148655,01/01/17
ec,pop,1276821,01/08/17
ec,pop,1288639,01/15/17
ec,pop,1240480,01/22/17
ec,pop,1230065,01/29/17
ec,pop,1218176,02/05/17
ec,pop,1202607,02/12/17
ec,pop,1192864,02/19/17
ec,pop,1182745,02/26/17
ec,pop,1446544,03/05/17
ec,pop,1376802,03/12/17
ec,pop,1282373,03/19/17
